CM  ,M,HCSI,    ,CSCI060  HM ,2014,FA  ,CSI
CM  ,F,PLCS,    ,CSCI060  HM ,2014,SP  ,LCS
CM  ,F,MMAT,    ,CSCI060  HM ,2014,SP  ,MAT
CM  ,M,PCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,F,HCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,F,MECO,    ,CSCI060  HM ,2015,FA  ,ECO
CM  ,M,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,F,MSMG,    ,CSCI060  HM ,2014,SP  ,SMG
CM  ,M,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,M,PCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,F,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,F,MSMG,    ,CSCI060  HM ,2015,FA  ,SMG
CM  ,M,MECO,    ,CSCI060  HM ,2013,FA  ,ECO
CM  ,M,MMAT,MBPH,CSCI060  HM ,2016,SP  ,MAT
CM  ,M,MECO,    ,CSCI060  HM ,2015,FA  ,ECO
CM  ,F,MNEU,    ,CSCI060  HM ,2012,FA  ,NEU
CM  ,F,ME&E,    ,CSCI060  HM ,2017,SP  ,E&E
CM  ,M,MPHI,    ,CSCI060  HM ,2014,SP  ,PHI
CM  ,M,MECO,    ,CSCI060  HM ,2016,FA  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2016,SP  ,ECO
CM  ,M,MMBI,    ,CSCI060  HM ,2016,SP  ,MBI
CM  ,M,PCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,M,MMGE,    ,CSCI060  HM ,2014,SP  ,MGE
CM  ,M,MNEU,    ,CSCI060  HM ,2016,SP  ,NEU
CM  ,M,MMAT,    ,CSCI060  HM ,2016,SP  ,MAT
CM  ,M,MBCH,    ,CSCI060  HM ,2015,FA  ,BCH
CM  ,F,PCSI,MECO,CSCI060  HM ,2014,FA  ,CSI
CM  ,M,MSMG,    ,CSCI060  HM ,2015,FA  ,SMG
CM  ,F,HCSI,    ,CSCI060  HM ,2014,SP  ,CSI
CM  ,M,MPPE,    ,CSCI060  HM ,2016,SP  ,PPE
CM  ,M,MMAT,    ,CSCI060  HM ,2015,FA  ,MAT
CM  ,F,MNEU,    ,CSCI060  HM ,2015,FA  ,NEU
CM  ,M,MNEU,    ,CSCI060  HM ,2017,SP  ,NEU
CM  ,F,MPSY,    ,CSCI060  HM ,2015,FA  ,PSY
CM  ,M,MPHY,    ,CSCI060  HM ,2015,FA  ,PHY
CM  ,M,MECO,    ,CSCI060  HM ,2014,SP  ,ECO
CM  ,M,MECO,    ,CSCI060  HM ,2016,SP  ,ECO
CM  ,M,HCSI,    ,CSCI060  HM ,2015,SP  ,CSI
CM  ,F,MGOV,    ,CSCI060  HM ,2016,SP  ,GOV
CM  ,M,MPPE,    ,CSCI060  HM ,2017,SP  ,PPE
CM  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,M,MMGE,    ,CSCI060  HM ,2017,FA  ,MGE
CM  ,F,HCSI,    ,CSCI060  HM ,2015,FA  ,CSI
CM  ,F,MECO,MMAT,CSCI060  HM ,2017,SP  ,ECO
CM  ,M,PCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,M,MECA,    ,CSCI060  HM ,2016,SP  ,ECA
CM  ,M,HCSI,MECO,CSCI060  HM ,2015,FA  ,CSI
CM  ,F,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,M,HCSI,MECO,CSCI060  HM ,2017,SP  ,CSI
CM  ,F,MMAT,    ,CSCI060  HM ,2016,SP  ,MAT
CM  ,M,HCSI,    ,CSCI060  HM ,2015,FA  ,CSI
CM  ,F,MECO,    ,CSCI060  HM ,2015,FA  ,ECO
CM  ,M,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,F,MECO,    ,CSCI060  HM ,2016,FA  ,ECO
CM  ,M,MMGE,    ,CSCI060  HM ,2016,SP  ,MGE
CM  ,M,MECO,MMAT,CSCI060  HM ,2016,SP  ,ECO
CM  ,M,HCSI,    ,CSCI060  HM ,2015,FA  ,CSI
CM  ,M,MMAT,    ,CSCI060  HM ,2017,SP  ,MAT
CM  ,F,MECO,    ,CSCI060  HM ,2016,FA  ,ECO
CM  ,M,MNEU,    ,CSCI060  HM ,2017,SP  ,NEU
CM  ,M,HCSI,    ,CSCI060  HM ,2015,FA  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2016,SP  ,ECO
CM  ,M,PCSI,    ,CSCI060  HM ,2014,FA  ,CSI
CM  ,M,MMBI,    ,CSCI060  HM ,2016,SP  ,MBI
CM  ,M,MPPE,    ,CSCI060  HM ,2015,FA  ,PPE
CM  ,M,MECO,    ,CSCI060  HM ,2015,FA  ,ECO
CM  ,M,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,F,MPPE,    ,CSCI060  HM ,2016,FA  ,PPE
CM  ,M,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,M,MINT,    ,CSCI060  HM ,2017,SP  ,INT
CM  ,F,MEEP,    ,CSCI060  HM ,2017,SP  ,EEP
CM  ,M,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,F,MBPH,    ,CSCI060  HM ,2017,SP  ,BPH
CM  ,F,ME&E,    ,CSCI060  HM ,2017,SP  ,E&E
CM  ,M,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,M,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,M,MMAT,    ,CSCI060  HM ,2017,SP  ,MAT
CM  ,M,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,F,MMGE,    ,CSCI060  HM ,2017,SP  ,MGE
CM  ,M,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,F,PCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2016,SP  ,ECO
CM  ,M,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
CM  ,F,MSMG,    ,CSCI060  HM ,2017,SP  ,SMG
CM  ,F,MHIS,    ,CSCI060  HM ,2017,FA  ,HIS
CM  ,M,MECO,    ,CSCI060  HM ,2017,SP  ,ECO
CM  ,M,MPPE,    ,CSCI060  HM ,2017,FA  ,PPE
CM  ,F,MMAT,    ,CSCI060  HM ,2017,SP  ,MAT
CM  ,F,MMAT,    ,CSCI060  HM ,2017,FA  ,MAT
CM  ,M,MECO,    ,CSCI060  HM ,2017,FA  ,ECO
CM  ,F,MUND,    ,CSCI060  HM ,2017,FA  ,UND
CM  ,M,MUND,    ,CSCI060  HM ,2017,FA  ,UND
CM  ,F,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,M,MECO,    ,CSCI060  HM ,2017,FA  ,ECO
CM  ,F,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,M,HCSI,    ,CSCI060  HM ,2017,FA  ,CSI
CM  ,M,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,F,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
CM  ,M,MMGE,    ,CSCI060  HM ,2017,FA  ,MGE
CM  ,M,HCSI,MECO,CSCI060  HM ,2017,FA  ,CSI
CM  ,M,MUND,    ,CSCI060  HM ,2017,FA  ,UND
CM  ,F,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,F,HCSI,    ,CSCI060  HM ,2017,FA  ,CSI
CM  ,M,MGOV,    ,CSCI060  HM ,2017,FA  ,GOV
CM  ,F,MMGE,    ,CSCI060  HM ,2017,FA  ,MGE
CM  ,F,HCSI,    ,CSCI060  HM ,2017,FA  ,CSI
CM  ,M,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,F,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,M,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,M,MECO,    ,CSCI060  HM ,2017,FA  ,ECO
CM  ,F,MMGE,    ,CSCI060  HM ,2017,FA  ,MGE
CM  ,M,MECO,    ,CSCI060  HM ,2017,FA  ,ECO
CM  ,F,HCSI,MNEU,CSCI060  HM ,2017,FA  ,CSI
CM  ,F,ME&E,    ,CSCI060  HM ,2017,FA  ,E&E
CM  ,F,MNEU,    ,CSCI060  HM ,2017,FA  ,NEU
CM  ,F,MBIO,    ,CSCI060  HM ,2017,FA  ,BIO
CM  ,M,MPHI,    ,CSCI060  HM ,2017,FA  ,PHI
CM  ,F,MUND,    ,CSCI060  HM ,2017,FA  ,UND
CM  ,M,MMGE,    ,CSCI060  HM ,2017,FA  ,MGE
CM  ,F,HCSI,MECO,CSCI060  HM ,2017,SP  ,CSI
HM  ,M,HPHY,    ,CSCI060  HM ,2009,SP  ,PHY
HM  ,M,HEGR,    ,CSCI060  HM ,2009,SP  ,EGR
HM  ,M,HEGR,    ,CSCI060  HM ,2009,SP  ,EGR
HM  ,M,HEGR,    ,CSCI060  HM ,2010,SP  ,EGR
HM  ,M,HEGR,    ,CSCI060  HM ,2009,SP  ,EGR
HM  ,F,HCHE,    ,CSCI060  HM ,2009,SP  ,CHE
HM  ,F,HEGR,    ,CSCI060  HM ,2009,SP  ,EGR
HM  ,F,HEGR,    ,CSCI060  HM ,2009,SP  ,EGR
